ix,token,condition,report,grouping,features A,features R,reported_rule
51,4T5UHIZG,A1,The active stone cause inactive stones to five sided stone.,none,none,edge,partial
52,S4APB968,A1,The active stone turns the inactive stone into a pentagon if it is not already a pentagon and turns it into a darker shade of blue.,R,none,both,true_minimal
54,W0LN32CW,A1,"The active stone turns all the inactive stones into pentagons regardless of the original shape of the inactive stone, and it darkens the color of the inactive stone by one shade.",none,none,both,true_minimal
57,XYVDDA7F,A1,First I think that active stones change all the stones it comes into contact with but depends on what the shape is to how it changes. For example when it hits a six sided shape it always turns into a 5 sided shape. When it hits a 3 sided shape it always turns into a 5 sided shape. Also whatever color the inactive stone was  when it was hit always changes into a darker shade regardless of the shapes. Also whenever an active stone hits a 5 sided shape it always stays the same. ,R,none,both,true_minimal
58,WIC0A3FP,A1,"the inactive stone will become a pentagon when near a glowing stone.  In addition, it will darken a bit.",none,none,both,true_minimal
70,VDAIUMT2,A1,it turns stones into pentagons,none,none,edge,partial
73,XT046PWB,A1,"They affect the colors of the other stones, making them become darker, and they also affect their shape, making the three and six sided stones become five sided ones.",none,none,both,true_minimal
77,30P8LBBM,A1,It changes the sides of the shapes. If it is triangle it changes to four sides called square,R,none,edge,partial
78,5FM083TW,A1,"if the active stone hits an inactive stone, the inactive stone shade becomes 1 shade darker and turns into a hexagon  ",none,none,both,true_minimal
81,4SFDW766,A1,Inactive hexagon converts into pentagon on activation. Triangle converts into pentagon on activation. Pentagon remains unchanged.,R,none,edge,partial
85,GCZPFI10,A1,"When the active stone hits an inactive stone, no matter what shape it is it will make the color of the inactive stone a darker shade than before. If the inactive stone is any shape besides a pentagon, if it gets hit it will turn into a pentagon. If the inactive stone is a pentagon, it stays the same shape, but still changes to a darker color. ",R,none,both,true_minimal
87,REBQHEQU,A1,"The active stone causes the other stones to change into a pentagon shape, unless it is already a pentagon shape, in which case it makes it darker.",R,none,both,partial
95,BMQ0YNY3,A1,"This active square stone will always turn the other inactive stone into a pentagon of darker shade. The shape of the inactive stone does not matter in this case. The original shade of the inactive stone determines the shade of the stone it transforms into; the lighter the original is, the lighter the resulting stone will be, although darker.",none,none,both,true_minimal
97,MANRN28V,A1,"when the active square bumps into whatever inactive stone is next to it, it turns it into a pentagon that's a shade darker than the previous stone before it.",none,none,both,true_minimal
112,UK2JKGD0,A1,"When active stone hits inactive, the color changes to next level i.e from light to medium, from medium to dark, dark to very dark. But according to shape, only pentagon does not change it's shape, other shapes changes from one to another like triangle to pentagon, hexagon to pentagon. ",none,none,both,true_minimal
159,TVM735HS,A1,"Every time the active square hits the other object, the other object turns one shade darker in color.  It also always changes into a 5 sided pentagon",none,none,both,true_minimal
170,G001730C,A1,"The active stone, upon colliding with the inactive stone, will convert the number of sides of the inactive stone to n+1, where n is the number of sides of the inactive stone. In this case, the inactive stone always had 5 sides after the collision as the active stone had 4. After impact, the inactive stone will always be one shade darker than before the interaction.",none,none,both,true_relative
171,O1B3H7HZ,A1,The active stone makes the inactive stone a pentagon and one shade darker.,none,none,both,true_minimal
179,K0KD4HVK,A1,The active stone turns the inactive stone one shade darker always changing it into a pentagon. The pentagon remains a pentagon when activated.,none,none,both,true_minimal
181,6VGAY15P,A1,Mysterious stone will work based on the active stone. Once we test with active stone then second will vary with different color like lighter and darker.,none,none,both,partial
191,TF513OJI,A1,It will be different colors and shapes,none,none,both,partial
200,LEXJGO7Z,A1,Processes change its color and change its shape when the inactive stone hits the stone in action.,none,none,both,partial
215,MN4C8UC0,A1,Mysterious stone change the structure of the stone to pentagon and also the color of the stone. ,none,none,both,true_minimal
216,3KN98G6M,A1,"When an active stone hits an inactive stone, the result depends on the shape and color of the inactive stone. The inactive stone will always turn into a pentagon shape afterwards. Additionally, the inactive stone will turn a shade darker than it was previously.",none,none,both,true_minimal
50,H7WAP2RK,A2,"If the active stone is a pentagon or hexagon, it will change the change of the square (inactive stone) to a shape with one more side than the active stone. If the active stone has more sides than the inactive stone, it will increase the number of sides on the inactive stone.",A,edge,edge,partial
53,G4SROT3A,A2,If pentagon hits square it becomes hexagon and if hexagon hits square then it becomes heptagon. If triangle hits square it remains same but change in color shape.,AR,edge,both,partial
56,UL5TROHP,A2,"When hit by an active shape, inactive shapes increase the amount of sides that shape has by one, except when hit by a triangle; further, the inactive shape always goes darker by one hue. ",A,edge,both,wrong
62,D2EKTNYH,A2,A shape that has more than 3 sides will change the inactive shape and color. The triangle will change the inactive stone's color only ,A,edge,both,partial
68,N4VC1K77,A2,the active stone  hits the inactive stone and made it brighter ,none,none,shade,partial
72,BUISKWFT,A2,Before the test shapes will be original and new changing shapes,none,none,edge,partial
79,49Y9RUSK,A2,"The Hexagon and pentagon active stone which may light or dark colored, will change the color and shape of the inactive stone.  And the triangle active stone which may light or dark colored, will change the color of the inactive stone.",A,both,both,partial
101,W92XH6Y8,A2,"After being hit by the active stone, the inactive stone will always become darker in color. If the active stone has a larger number of sides than the inactive stone then the inactive stone will change shape to have 1 more side than the active stone.",A,edge,both,partial
105,WPOBJJMO,A2,When the active stone touches the inactive stone the inactive stone becomes dark blue and will turn into a shape that has 1 more side than the active stone if it doesn't already.,none,none,both,true_minimal
111,HLIWKZS9,A2,Glowing hexagon adds half of it's sides to whatever it touches and bolden/activates it.  Glowing triangle simply activates/boldens the other stone. Glowing pentagon adds two sides and boldens the other stone. ,A,edge,edge,wrong
114,O39067WS,A2,"Original color of active or inactive stone don't matter.  Inactive stone interacting with active stone always end up in a dark state, if already in a dark state, doesn't darken.  More importantly if the polygon count of the active stone (ie how many sides it has) is greater than the inactive stone, then the inactive stone transforms into a polygon with a count of one greater than the active stone.  If the polygoncount of the active stone is lower, not transformation occurs to the inactive stone.",AR,edge,both,partial
117,5ZUUH2G8,A2,"When an active stone touches an inactive stone, it will turn the inactive stone dark. The inactive stone's shape will also change to have one more side to it than the active stone that touches it. If the active stone has one less side than the inactive stone does before touching it, the inactive stone's shape will remain the same.",A,edge,both,true_minimal
124,6948LD06,A2,I THINK THAT THE MYSTERIOUS STONES WORK IS TO THICKNESS SHOULD GIVE THE ACTIVENESS OF STONES.,,,,unclear
146,EVM5RO4Y,A2,The active shapes changes the inactive shape to one more side than the active shape has.,none,edge,edge,partial
155,4BTKDDUI,A2,when an active stone is tapped against an inactive stone.. before the stone was light square after tapped the active stone to inactive store suddenly change the light color to dark color.. then active pentagone stone to tap square inactive stone change the color light to very dark and change the shape square to hexagon..4th one hexagon stone is active then tap the inactive square stone suddenly change the color light color to dark and change the shape square to hexagon..,AR,none,both,wrong
162,1XASPXT8,A2,"When colliding an active stone with an inactive one, the inactive stone will reform to have one more side than the active stone, and turn a shade darker than its original state.  The inactive stone will remain inactive, and the active stone will keep the same properties it had before colliding.",none,edge,both,true_relative
165,772O5G6A,A2,"when an active stone hit the inactive stone, it change into another shape.",none,none,edge,partial
177,QPDMGCZK,A2,These mysterious stones work based on the level of force and light from the active stones. The level of force at which the active stone hit the inactive stone makes the inactive stone assume a new shape and a new shade of color different from what the active stone had.,A,both,both,partial
203,DQUYZP2K,A2,"When an active polygon with touches an inactive square, the square transforms into the polygon plus an extra side (still inactive). So when a pentagon touches the square, the square transforms into a hexagon. When a hexagon touches, it turns into a heptagon.   We see this with the triangle too, it just looks like the square is lighting up but in fact it's the triangle's 3 sides plus one. ",AR,edge,edge,partial
205,VQ1ANAFK,A2,An active triangle causes an inactive stone to change color tone from light to dark. An active hexagon causes an inactive stone to change its shape and color tone. An active pentagon causes an inactive stone to change its shape and color tone.  ,A,edge,both,partial
213,KH0MYH6L ,A2,the before stones are light shapes the test ruing up the the stone get onther one to the op-site stone is bright color to change it the all stone are change the color of the stones,,,,unclear
214,3E0E8LK5,A2,"When the active stone hit the inactive stones, the inactive stone change color from light to medium and soe evem change the shape to look like the active stones.",none,edge,both,partial
217,GW8RPICE,A2,"The active pentagon stone, it turns every object it touches into a darker version of the pentagon stone. The active triangle will always darken the object it touches",A,edge,both,partial
218,RQJEWJ5F,A2,Number of side of the inactive increases when collide with active. Five sided active result in six sided inactive. Also the color becomes darker.,A,edge,both,true_relative
219,5C8QM5BZ,A2,THE ACTIVE STONE HAS THE NUMBER OF FACES.  IS MOVING IN  TO TOUCH THE INACTIVE STONE AND THE INACTIVE STONE HAS CHANGE THE NUMBER OF FACES OF ACTIVE STONE ADD ONE. FOR EXAMBLE THE ACTIVE STONE IS SQURE AND THE ACTIVE STONE IS MOVING TO THE INACTIVE STONE AND THE STONE CHANGE INTO THE PENTAGON.,none,edge,edge,partial
64,FCXGY8UA,A3,when the active stone hit the hexagon it changes into octagon and when it hits the pentagon it changes into hexagon when it hits the triangle it changes into square this is the prower of mysterious stones,R,none,edge,partial
74,UQIEZ1CD,A3,It increase the sides of the shapes. If it is triangle it changes to four sided angle called square,R,none,edge,partial
75,ZE6IGSMF,A3,"The active stone (or, specifically, the active square medium-blue stone, since that is the only one shown in the test phase) causes one, and possibly two changes in the inactive stone:  (1) the inactive stone gains one extra edge or side (e.g. a triangle is transformed into a square, a pentagon into a hexgon, a hexagon into a heptagon, etc.); this change always happens  (2) the inactive stone has its color changed to a dark blue (darker than the blue of the active stone); however, if the inactive stone was already that color, its color is not changed",R,none,both,true_minimal
76,70IZ4BH8,A3,These stones are joined to make new polygins.,,,,unclear
82,KKA1DZIF,A3,The stones are changed from active to inactive and also changed their colours like light to dark. When the stones are changing at the moment the shapes of the stones also change.,,,,unclear
84,NVRU0MPZ,A3,"My best guess is after the active stone taps the inactive stone, the inactive stone adds 1 extra side to the shape. So triangle with 3 sides, becomes square with 4 sides, etc.",none,none,edge,partial
86,9YZVG2O5,A3,I think that the active stone adds an edge to the inactive whenever it hits the inactive object.,none,none,edge,partial
88,KX59WAOS,A3,"When an active square hits an inactive shape, it adds an extra side to the shape. For example, the triangle, which has three sides, became a square, which has four sides, after being struck. The original shape of the inactive stone does not matter.",none,none,edge,partial
103,5VR2RKOU,A3,If an active stone hits a triangle it changes shape and becomes dark blue; if an active stone hits an octagon it becomes dark blue; if an active stone hits a pentagon it changes its shape to an octagon and becomes or stays dark blue.,R,none,both,partial
107,FDVI3Z1K,A3,"The active stone makes the color of the inactive stone darker. And, The active stone increases one edge of the inactive stone.",none,none,both,true_minimal
116,1TRXYFUI,A3,The stones working with different shapes and color combination,none,both,both,partial
120,9Z306BRM,A3,When the active stone bumps into the inactive stone the inactive stone turns into a shape that has 1 extra point than it had. The inactive stone also turns dark blue in color when bumped by the active stone.,none,none,both,true_minimal
123,J3804K3T,A3,when the mysterious stone hit the triangle it changes into square and the colour would be get darker and when it hit the hexagon it changes into dark coloured octogon and when it his the pentagon it changes into dark coloured hexagon and note that the colour of the stone is already darker then it would remain dark,R,none,both,wrong
128,NE04GHNB,A3,"If any shape and any colour of an active stone hits inactive stones of light colour it changes colour into dark and increases one dimension in shape of the inactive stones. If any shape and any colour of an active stone hits inactive stones of dark colour remains dark no changes occurs in colour, but changes occurs in shape by addition of one dimension in shape of the inactive stones.",R,both,both,true_minimal
131,EDZEU4T8,A3,The shape gains a side (ie a triangle with 3 sides becomes a square with 4 sides) and turns to the darkest shade if it were not already the darkest shade.,none,none,both,true_minimal
132,7SYK65YH,A3,The active square changes an inactive triangle to an active square. I would think an active square would also change an inactive square to active. An active square changes an inactive pentagon to active and an inactive hexagon to an active pentagon. The square seems to be the one that activates everything else.,AR,edge,edge,partial
137,W0ZEJ0SY,A3,The impact appears to add a side to the to the stone and darken the shade.,none,none,both,partial
156,G0EXFM69,A3,"if an active square stone with four side hit an inactive stone of pentagon with 5 sides it become a dark hexagon,the same active square when hits the triangle with three sides it become dark four side square.",AR,edge,both,partial
172,XFZHIMGP,A3,if the active end touch the inactive part then the inactive part turn in to add with one extra side,none,none,edge,partial
184,YAISICYC,A3,When the active stone touches the inactive stone then it changes it's shape. Shape is changed by sides add to the shape. One extra side is added to the existed shape.,none,none,edge,partial
185,IZV58Z6T,A3,"When an active stone approaches an inactive stone, it causes the stone to gain an additional side to it. (i.e. it goes from three sides to four sides, or four sides to five sides, etc.)",none,none,edge,partial
186,J6PLSBIF,A3,The active stone adds a side to each shape when it hits the shape.,none,none,edge,partial
188,1KKSQJO5,A3,A stone changes its shape when rubbed with a stone Also gives good color.,,,,unclear
189,1G3NR7IT,A3,when glow stone touches the triangle it changes into square,R,none,edge,wrong
206,ICKDTC07,A3,The active stone adds a side to the inactive stone.,none,none,edge,partial
210,POO5HKU1,A3,The mysterious stone works as active stone when reacts with inactive stone changes the shape of the inactive stone.  The order of the inactive changes to high.,none,none,edge,partial
63,VFKNCVRS,A4,"The best I can come up with is when the activated stone hits against the inactive stone, it changes the color. If the active stone is light colored, it seems the new stone shape is a light color, as well. If the active stone is a dark color, the inactive stone shape takes on a dark color, as well.",A,none,shade,partial
66,3EZG3TW3,A4,"When the active stone moves to the right and contacts the inactive stone, it changes shape.",none,none,edge,partial
83,V0DZWHR5,A4,The active stones seem to add a side to the inactive stones (so a square becomes a pentagon). The active stone also seems to change the color of the inactive stone to a shade one level darker than the active stone's shade (regardless of the inactive stone's original shade). But I'm not certain about the first part - it could be that the active stones always change the inactive stone to a pentagon. Since all of the inactive stones were squares I couldn't test if it really was an add a side rule or a change to pentagon rule.,none,shade,both,true_minimal
104,5KFHJR51,A4,"Tapping an active stone against an inactive stone, makes the inactive stone a shape with one more side than it previously had.  ",none,none,edge,partial
106,KK86QCSH,A4,"The active stone will always turn the inactive stone into a pentagon. If the active stone is light, the color of the inactive stone won't change but if the active stone is darker than light, the inactive stone will be darker.",A,shade,both,true_minimal
130,W8K7NJY3,A4,"When active stones hit the inactive stones ,the shape of inactive stone is changed. I guess active stone has radiation property and it may be affecting the the molecular bonding of inactive stone when they hit. So the shape of inactive stone is getting changed. The molecular bonding of active stone may have more strength than inactive stone. So that the shape of active stone is not getting changed.",A,edge,both,partial
133,0C7EXWAQ,A4,The mysterious stones change squares into pentagons. If they are a shade darker than the square they also made the newly made pentagon even darker than them.,AR,edge,both,true_minimal
135,HVGIUUV4,A4,"whenever an active stone of any shape touches an inactive square it turns into a pentagon, the color of the pentagon depends on the color of the active stone, the pentagon formed becomes a darker color than the active stone",none,shade,both,true_minimal
139,LDW57CTI,A4,"When an active stone comes into contact with an inactive stone, the inactive stone is altered to a shape with one more side than it had previously.",none,none,edge,partial
140,G7UTHKOM,A4,"all the case , the inactive stones ,have a shades of color, and it shape merged to the active stone ,it gives a pentagon, my guess is , the shape depends on the inactive stone shape .",none,none,both,partial
142,220QN7QL,A4,The inactive shape is always changed to a pentagon & its shade is changed to one step darker than the active stone.,none,edge,both,true_minimal
143,KHYYARPE,A4,Square turns to pentagon and it maintains its color deepeness.,,none,both,wrong
144,3HP6O6E7,A4,when the active stone comes in contact with the inactive stone it changes it form/shape and sometimes the color. ,none,none,both,partial
145,YVJCGWFX,A4,"When the active stone hits the inactive stone, the inactive stone turns into a pentagon",none,none,edge,partial
152,GZIZJDYB,A4,"While an active stone hits an inactive stone, then the inactive stone's shape changed such as the number of sides increased such as square become pentagon. Also color of inactive stone also chnged to the next darker color.",none,none,both,true_relative
153,9MAWUCBZ,A4,"When active stones hits the inactive stones, the inactive stones shapes upgraded to one level( for eg if an active stone hits square shaped inactive stone it turns to pentagon shaped inactive stone).",none,none,edge,partial
158,NF7MIFS3,A4,"When the active stone hit the inactive stone, It changes in shape and color but remains as Inactive",none,none,both,partial
160,9N0BFS5U,A4,"If the active stone is darker than the inactive stone, it turns the inactive stone darker. The shape outcome always is the 5 sided shape when the original inactive stone is a square, no matter what shape the original inactive stone was.",AR,shade,both,partial
166,TXJNIW7G,A4,The active stone always turns the other stone into a pentagon.  The color depends on the active stone's color.  The darker the active stone the darker the inactive one becomes as well.,none,shade,both,true_minimal
182,G8WYARU4,A4,They will increase by 1 side every time they are hit by a active stone,none,none,edge,partial
183,KU14VEBS,A4,pentagan will change as the square. and if the active square is there it will be changed to pentagon ,none,edge,edge,wrong
190,JIE9BMZJ,A4,"Active stones cause cubes to turn into pentagons of a darker color, imparting their slanted edges to the cube.",none,none,both,true_minimal
194,NUQ6N6ZH,A4,These mysterious stone change the color or shape of the inactive stone. ,none,none,both,partial
202,0OVVLPSO,A4,An inactive stone when hit by an active stone changes in shape. In the case of a of an inactive square stone when hit by an active stone becomes a pentagon,A,edge,edge,wrong
207,J2HZ8WZO,A4,"When the active stone hits on the inactive one, the inactive square shape of the stone become pentagonal. If the color of the active stone is light, the inactive stone becomes/remains medium. If the active stone is medium color, the inactive stone becomes dark. If the active stone is dark in color,  the inactive stone becomes very dark. ",A,shade,both,true_minimal
208,Y070HTOH,A4,There are two types of stones active stones and inactive stones.active stone reach the inactive stone then change pentagon position. most of the stone go to active state. it causes the properties of the inactive stones to change.,none,none,edge,partial