ix,token,condition,initial_input,bot,rule_like,consistent,rule_type,categorization,edge,shade,Note
51,4T5UHIZG,A1,The active stone cause inactive stones to five sided stone.,0,1,1,vague,,constant,unstated,
52,S4APB968,A1,The active stone turns the inactive stone into a pentagon if it is not already a pentagon and turns it into a darker shade of blue.,0,1,1,true_constant,,,,
54,W0LN32CW,A1,"The active stone turns all the inactive stones into pentagons regardless of the original shape of the inactive stone, and it darkens the color of the inactive stone by one shade.",0,1,1,true_constant,,,,
55,HBWSH59L,A1,nice,1,,,,,,,
57,XYVDDA7F,A1,First I think that active stones change all the stones it comes into contact with but depends on what the shape is to how it changes. For example when it hits a six sided shape it always turns into a 5 sided shape. When it hits a 3 sided shape it always turns into a 5 sided shape. Also whatever color the inactive stone was  when it was hit always changes into a darker shade regardless of the shapes. Also whenever an active stone hits a 5 sided shape it always stays the same. ,0,1,1,true_constant,R,,,
58,WIC0A3FP,A1,"the inactive stone will become a pentagon when near a glowing stone.  In addition, it will darken a bit.",0,1,1,true_constant,,,,
70,VDAIUMT2,A1,it turns stones into pentagons,0,1,1,vague,,constant,unstated,
73,XT046PWB,A1,"They affect the colors of the other stones, making them become darker, and they also affect their shape, making the three and six sided stones become five sided ones.",0,1,1,vague,,constant,general,
77,30P8LBBM,A1,It changes the sides of the shapes. If it is triangle it changes to four sides called square,0,1,0,incompatible,,,,
78,5FM083TW,A1,"if the active stone hits an inactive stone, the inactive stone shade becomes 1 shade darker and turns into a hexagon  ",0,1,0,incompatible,,,,Typo
80,T4KTI029,A1,It's going to near the stone,0,0,,,,,,
81,4SFDW766,A1,Inactive hexagon converts into pentagon on activation. Triangle converts into pentagon on activation. Pentagon remains unchanged.,0,1,1,vague,R,constant,unstated,
85,GCZPFI10,A1,"When the active stone hits an inactive stone, no matter what shape it is it will make the color of the inactive stone a darker shade than before. If the inactive stone is any shape besides a pentagon, if it gets hit it will turn into a pentagon. If the inactive stone is a pentagon, it stays the same shape, but still changes to a darker color. ",0,1,1,true_constant,R,,,
87,REBQHEQU,A1,"The active stone causes the other stones to change into a pentagon shape, unless it is already a pentagon shape, in which case it makes it darker.",0,1,1,vague,R,constant,general,
90,3WHQ9BLI,A1,6,1,,,,,,,
92,C184LD02,A1,An that are awesome.,1,,,,,,,
94,0V42E6NG,A1,Active stones and inactive stones are interface,0,0,,,,,,
95,BMQ0YNY3,A1,"This active square stone will always turn the other inactive stone into a pentagon of darker shade. The shape of the inactive stone does not matter in this case. The original shade of the inactive stone determines the shade of the stone it transforms into; the lighter the original is, the lighter the resulting stone will be, although darker.",0,1,1,vague,R,constant,general,
97,MANRN28V,A1,"when the active square bumps into whatever inactive stone is next to it, it turns it into a pentagon that's a shade darker than the previous stone before it.",0,1,1,true_constant,,,,
109,L9VFETEV,A1,All stones active,0,0,,,,,,
112,UK2JKGD0,A1,"When active stone hits inactive, the color changes to next level i.e from light to medium, from medium to dark, dark to very dark. But according to shape, only pentagon does not change it's shape, other shapes changes from one to another like triangle to pentagon, hexagon to pentagon. ",0,1,1,true_constant,R,,,
127,TUBDXVFZ,A1,active stone moves to inactive stone,0,0,,,,,,
159,TVM735HS,A1,"Every time the active square hits the other object, the other object turns one shade darker in color.  It also always changes into a 5 sided pentagon",0,1,1,true_constant,,,,
161,4P1FXW49,A1,"Though ancient standing stones, stone circles, and megaliths are scattered across the world",1,,,,,,,
170,G001730C,A1,"The active stone, upon colliding with the inactive stone, will convert the number of sides of the inactive stone to n+1, where n is the number of sides of the inactive stone. In this case, the inactive stone always had 5 sides after the collision as the active stone had 4. After impact, the inactive stone will always be one shade darker than before the interaction.",0,1,1,true_relative,,,,
171,O1B3H7HZ,A1,The active stone makes the inactive stone a pentagon and one shade darker.,0,1,1,true_constant,,,,
179,K0KD4HVK,A1,The active stone turns the inactive stone one shade darker always changing it into a pentagon. The pentagon remains a pentagon when activated.,0,1,1,true_constant,,,,
180,Z66NM6ZP,A1,I will guess and to answered the questions its very easy to do.,1,,,,,,,
181,6VGAY15P,A1,Mysterious stone will work based on the active stone. Once we test with active stone then second will vary with different color like lighter and darker.,0,1,1,vague,,unstated,general,
191,TF513OJI,A1,It will be different colors and shapes,0,1,1,vague,,general,general,
193,OJQ8GW6R,A1,it is about the attraction between the poles and their view,1,,,,,,,
200,LEXJGO7Z,A1,Processes change its color and change its shape when the inactive stone hits the stone in action.,0,0,,,,,,typo?
211,DO7LA72J,A1,I believe that already active stones stay active while inactive become active while being in contact with other active stones,0,0,,,,,,
212,KC8RL4ZH,A1,this stones of is very good of properties of stones is very good stones ,0,0,,,,,,
215,MN4C8UC0,A1,Mysterious stone change the structure of the stone to pentagon and also the color of the stone. ,0,1,1,vague,,constant,general,
216,3KN98G6M,A1,"When an active stone hits an inactive stone, the result depends on the shape and color of the inactive stone. The inactive stone will always turn into a pentagon shape afterwards. Additionally, the inactive stone will turn a shade darker than it was previously.",0,1,1,true_constant,,,,
50,H7WAP2RK,A2,"If the active stone is a pentagon or hexagon, it will change the change of the square (inactive stone) to a shape with one more side than the active stone. If the active stone has more sides than the inactive stone, it will increase the number of sides on the inactive stone.",0,1,1,vague,A,A,unstated,
53,G4SROT3A,A2,If pentagon hits square it becomes hexagon and if hexagon hits square then it becomes heptagon. If triangle hits square it remains same but change in color shape.,0,1,1,vague,A,multiple,general,
56,UL5TROHP,A2,"When hit by an active shape, inactive shapes increase the amount of sides that shape has by one, except when hit by a triangle; further, the inactive shape always goes darker by one hue. ",0,1,1,true_relative,A,,,
62,D2EKTNYH,A2,A shape that has more than 3 sides will change the inactive shape and color. The triangle will change the inactive stone's color only ,0,1,1,vague,A,general,general,
65,OS6M9QG4,A2,Some task are unpredictable.,0,0,,,,,,
67,VDB838SI,A2,Nothing very nice to the survey,1,,,,,,,
68,N4VC1K77,A2,the active stone  hits the inactive stone and made it brighter ,0,1,1,vague,,unstated,general,
69,XH7FCQ8Q,A2,"the stones go into an active state in which they glow with a strange light.when an active stone is tapped against an inactive stone,it causes the properties of the inactive stone to change.",1,,,,,,,
72,BUISKWFT,A2,Before the test shapes will be original and new changing shapes,0,0,,,,,,
79,49Y9RUSK,A2,"The Hexagon and pentagon active stone which may light or dark colored, will change the color and shape of the inactive stone.  And the triangle active stone which may light or dark colored, will change the color of the inactive stone.",0,1,1,vague,A,general,general,
89,KZZ0PTK8,A2,make correctly good decision is my best.,1,,,,,,,
91,9EIZG0GU,A2,12,1,,,,,,,
93,C3HNLPL7,A2,as the stones hit it glows ,0,0,,,,,,
96,1CWUL5FI,A2,"The names, matter because the whole science of stone prevention focuses upon stone crystals. ... That is why we name stones by the names of their crystals and why when ... These treatments work by altering urine chemistry in a direction ",1,,,,,,,
99,J3XRGPG7,A2,it is very easy to identify active and inactive stones then triangle and square it forms no change then active hexogan and square it forms changes to them then active pentagon and square it forms changes,0,1,0,incompatible,,,,
101,W92XH6Y8,A2,"After being hit by the active stone, the inactive stone will always become darker in color. If the active stone has a larger number of sides than the inactive stone then the inactive stone will change shape to have 1 more side than the active stone.",0,1,1,vague,A,A,general,
105,WPOBJJMO,A2,When the active stone touches the inactive stone the inactive stone becomes dark blue and will turn into a shape that has 1 more side than the active stone if it doesn't already.,0,1,1,true_constant,,,,
110,ANOOSUQ6,A2,The two box will join and combine together,0,0,,,,,,
111,HLIWKZS9,A2,Glowing hexagon adds half of it's sides to whatever it touches and bolden/activates it.  Glowing triangle simply activates/boldens the other stone. Glowing pentagon adds two sides and boldens the other stone. ,0,1,1,sophisticated,A,A,general,
114,O39067WS,A2,"Original color of active or inactive stone don't matter.  Inactive stone interacting with active stone always end up in a dark state, if already in a dark state, doesn't darken.  More importantly if the polygon count of the active stone (ie how many sides it has) is greater than the inactive stone, then the inactive stone transforms into a polygon with a count of one greater than the active stone.  If the polygoncount of the active stone is lower, not transformation occurs to the inactive stone.",0,1,1,vague,A,A,general,
117,5ZUUH2G8,A2,"When an active stone touches an inactive stone, it will turn the inactive stone dark. The inactive stone's shape will also change to have one more side to it than the active stone that touches it. If the active stone has one less side than the inactive stone does before touching it, the inactive stone's shape will remain the same.",0,1,1,vague,A,A,general,
119,SP7RNONR,A2,"What causal rule(or rules)determine when,whether and how the active stones change the inactive stones.",1,,,,,,,
122,KXA0SKXE,A2,range of shades and verity of shapes,1,,,,,,,
124,6948LD06,A2,I THINK THAT THE MYSTERIOUS STONES WORK IS TO THICKNESS SHOULD GIVE THE ACTIVENESS OF STONES.,0,0,,,,,,
126,KG7TYGXC,A2,the stones are active in different and same shape and two are the same stones and then other differnet,0,0,,,,,,
129,XOIMA1W6,A2,THE ACTIVE STONE MOVES TO INACTIVE STONE,0,0,,,,,,
134,W3F4DOM0,A2,the stones apperer in next stone,0,0,,,,,,
146,EVM5RO4Y,A2,The active shapes changes the inactive shape to one more side than the active shape has.,0,1,1,vague,,A,unstated,
148,RX5KSTNF,A2,"Hidden Mountain, the home of the world famous “mystery stone,” is a basalt ... But because “hidden history” and “what they didn't teach you in ... He was in the area at that time because of the extensive archaeological work he ... But, perhaps, the best reason to reject the mystery around the “mystery stone” ",1,,,,,,,
149,0GIEJNW3,A2,stones as active and inactive,0,0,,,,,,
150,ZVUJIHIN,A2,Left object move to right and the shape difference,0,0,,,,,,
155,4BTKDDUI,A2,when an active stone is tapped against an inactive stone.. before the stone was light square after tapped the active stone to inactive store suddenly change the light color to dark color.. then active pentagone stone to tap square inactive stone change the color light to very dark and change the shape square to hexagon..4th one hexagon stone is active then tap the inactive square stone suddenly change the color light color to dark and change the shape square to hexagon..,0,1,0,incompatible,,,,
162,1XASPXT8,A2,"When colliding an active stone with an inactive one, the inactive stone will reform to have one more side than the active stone, and turn a shade darker than its original state.  The inactive stone will remain inactive, and the active stone will keep the same properties it had before colliding.",0,1,1,true_relative,,,,
164,HLXIS6XN,A2,"The drone of the man’s oak didgeridoo reverberated off the granite. “Not that I know when Doomsday is,” he said, parting his lips from the mouthpiece and pointing toward the 19ft tall thick, grey stones a few yards from us. “But whenever it hits, this is right where I’d want to be.”  ",1,,,,,,,
165,772O5G6A,A2,"when an active stone hit the inactive stone, it change into another shape.",0,1,1,vague,,general,unstated,
174,ZRYPERMV,A2,In that stones as active and inactive are that one in that last and that one in another end when that are coming close each other.,0,0,,,,,,
175,GF2O81JA,A2,"this stone is active stone and inactive stone. Sometimes the stones go into an active state in which they glow with a strange light . When an active stone is tapped against an inactive stone, it causes the properties of the inactive stone to change.",1,,,,,,,
177,QPDMGCZK,A2,These mysterious stones work based on the level of force and light from the active stones. The level of force at which the active stone hit the inactive stone makes the inactive stone assume a new shape and a new shade of color different from what the active stone had.,0,1,1,vague,,general,general,
201,GJV7UP4E,A2,They are stones are move to a correct to join mysterious to work. ,0,0,,,,,,
203,DQUYZP2K,A2,"When an active polygon with touches an inactive square, the square transforms into the polygon plus an extra side (still inactive). So when a pentagon touches the square, the square transforms into a hexagon. When a hexagon touches, it turns into a heptagon.   We see this with the triangle too, it just looks like the square is lighting up but in fact it's the triangle's 3 sides plus one. ",0,1,1,vague,,A,unstated,
204,HMTS5NLE,A2, range of shades and a variety of shapes,1,,,,,,,
205,VQ1ANAFK,A2,An active triangle causes an inactive stone to change color tone from light to dark. An active hexagon causes an inactive stone to change its shape and color tone. An active pentagon causes an inactive stone to change its shape and color tone.  ,0,1,1,vague,A,general,general,
213,KH0MYH6L,A2,the before stones are light shapes the test ruing up the the stone get onther one to the op-site stone is bright color to change it the all stone are change the color of the stones,0,0,,,,,,
214,3E0E8LK5,A2,"When the active stone hit the inactive stones, the inactive stone change color from light to medium and soe evem change the shape to look like the active stones.",0,1,0,incompatible,,,,
217,GW8RPICE,A2,"The active pentagon stone, it turns every object it touches into a darker version of the pentagon stone. The active triangle will always darken the object it touches",0,1,0,incompatible,,,,
218,RQJEWJ5F,A2,Number of side of the inactive increases when collide with active. Five sided active result in six sided inactive. Also the color becomes darker.,0,1,1,vague,,A,general,
219,5C8QM5BZ,A2,THE ACTIVE STONE HAS THE NUMBER OF FACES.  IS MOVING IN  TO TOUCH THE INACTIVE STONE AND THE INACTIVE STONE HAS CHANGE THE NUMBER OF FACES OF ACTIVE STONE ADD ONE. FOR EXAMBLE THE ACTIVE STONE IS SQURE AND THE ACTIVE STONE IS MOVING TO THE INACTIVE STONE AND THE STONE CHANGE INTO THE PENTAGON.,0,1,1,vague,,A,unstated,
64,FCXGY8UA,A3,when the active stone hit the hexagon it changes into octagon and when it hits the pentagon it changes into hexagon when it hits the triangle it changes into square this is the prower of mysterious stones,0,1,0,incompatible,,,,Typo?
74,UQIEZ1CD,A3,It increase the sides of the shapes. If it is triangle it changes to four sided angle called square,0,1,1,vague,,general,unstated,
75,ZE6IGSMF,A3,"The active stone (or, specifically, the active square medium-blue stone, since that is the only one shown in the test phase) causes one, and possibly two changes in the inactive stone:  (1) the inactive stone gains one extra edge or side (e.g. a triangle is transformed into a square, a pentagon into a hexgon, a hexagon into a heptagon, etc.); this change always happens  (2) the inactive stone has its color changed to a dark blue (darker than the blue of the active stone); however, if the inactive stone was already that color, its color is not changed",0,1,1,true_constant,,,,
76,70IZ4BH8,A3,These stones are joined to make new polygins.,0,1,1,vague,,general,general,
82,KKA1DZIF,A3,The stones are changed from active to inactive and also changed their colours like light to dark. When the stones are changing at the moment the shapes of the stones also change.,0,1,1,vague,,general,general,
84,NVRU0MPZ,A3,"My best guess is after the active stone taps the inactive stone, the inactive stone adds 1 extra side to the shape. So triangle with 3 sides, becomes square with 4 sides, etc.",0,1,1,vague,,R,unstated,
86,9YZVG2O5,A3,I think that the active stone adds an edge to the inactive whenever it hits the inactive object.,0,1,1,vague,,R,unstated,
88,KX59WAOS,A3,"When an active square hits an inactive shape, it adds an extra side to the shape. For example, the triangle, which has three sides, became a square, which has four sides, after being struck. The original shape of the inactive stone does not matter.",0,1,1,vague,,R,unstated,
98,I6I76IAR,A3,THE ACTIVE AND INAACTIVE EASY TO CONSTRUCTED TO THE UNIQUE PROPERTICE SO I SELECTED STONES.,0,0,,,,,,
102,RB3GB4L6,A3,the shape is done after hit like the same shapes.,0,0,,,,,,
103,5VR2RKOU,A3,If an active stone hits a triangle it changes shape and becomes dark blue; if an active stone hits an octagon it becomes dark blue; if an active stone hits a pentagon it changes its shape to an octagon and becomes or stays dark blue.,0,1,0,incompatible,,,,Typo
107,FDVI3Z1K,A3,"The active stone makes the color of the inactive stone darker. And, The active stone increases one edge of the inactive stone.",0,1,1,vague,,general,general,
116,1TRXYFUI,A3,The stones working with different shapes and color combination,0,1,1,vague,,general,general,
118,1E2O1528,A3,THE ACTIVE STONE IS WHILE TESTING THE INACTIVE STONE WILL GET ONE MORE PHASE,0,1,0,incompatible,,,,
120,9Z306BRM,A3,When the active stone bumps into the inactive stone the inactive stone turns into a shape that has 1 extra point than it had. The inactive stone also turns dark blue in color when bumped by the active stone.,0,1,1,true_constant,,,,
121,8TIGV8ZO,A3,range of shades and a variety of shapes.,1,,,,,,,
123,J3804K3T,A3,when the mysterious stone hit the triangle it changes into square and the colour would be get darker and when it hit the hexagon it changes into dark coloured octogon and when it his the pentagon it changes into dark coloured hexagon and note that the colour of the stone is already darker then it would remain dark,0,1,0,incompatible,,,,
125,HYLELXRS,A3,2 active stone,0,0,,,,,,
128,NE04GHNB,A3,"If any shape and any colour of an active stone hits inactive stones of light colour it changes colour into dark and increases one dimension in shape of the inactive stones. If any shape and any colour of an active stone hits inactive stones of dark colour remains dark no changes occurs in colour, but changes occurs in shape by addition of one dimension in shape of the inactive stones.",0,1,1,true_constant,,,,
131,EDZEU4T8,A3,The shape gains a side (ie a triangle with 3 sides becomes a square with 4 sides) and turns to the dark shade.,0,1,1,true_constant,,,,
132,7SYK65YH,A3,The active square changes an inactive triangle to an active square. I would think an active square would also change an inactive square to active. An active square changes an inactive pentagon to active and an inactive hexagon to an active pentagon. The square seems to be the one that activates everything else.,0,1,0,incompatible,,,,
137,W0ZEJ0SY,A3,The impact appears to add a side to the to the stone and darken the shade.,0,1,1,vague,,R,general,
138,S3NW31AR,A3,I FEEL GOOD AND INTERESTING TO WORK OUT OF THE MYSTERIOUS STONES,1,,,,,,,
141,KD3HP5RB,A3,GOOD,1,,,,,,,
156,G0EXFM69,A3,"if an active square stone with four side hit an inactive stone of pentagon with 5 sides it become a dark hexagon,the same active square when hits the triangle with three sides it become dark four side square.",0,1,1,partial,,,,
163,DKTR3GM6,A3,"when an active stone is tapped against an inactive stone, it change the properties of inactive stone. active stone is more powerful than the other. ",0,1,1,vague,,general,general,
167,4BRZ9170,A3,Active stone agained unactive stone,0,0,,,,,,
172,XFZHIMGP,A3,if the active end touch the inactive part then the inactive part turn in to add with one extra side,0,1,1,vague,,R,unstated,
173,77888YCX,A3,The Mysterious stones are changing another shapes some stones are active and some stones are inactive but its all very good work too...,0,1,1,vague,,general,unstated,
184,YAISICYC,A3,When the active stone touches the inactive stone then it changes it's shape. Shape is changed by sides add to the shape. One extra side is added to the existed shape.,0,1,1,vague,,R,unstated,
185,IZV58Z6T,A3,"When an active stone approaches an inactive stone, it causes the stone to gain an additional side to it. (i.e. it goes from three sides to four sides, or four sides to five sides, etc.)",0,1,1,vague,,R,unstated,
186,J6PLSBIF,A3,The active stone adds a side to each shape when it hits the shape.,0,1,1,vague,,R,unstated,
188,1KKSQJO5,A3,A stone changes its shape when rubbed with a stone Also gives good color.,0,1,1,vague,,R,general,
189,1G3NR7IT,A3,when glow stone touches the triangle it changes into square,0,1,1,vague,R,general,unstated,
192,MZ3SE51Z,A3,That is good inactive as properties the stones,0,0,,,,,,
195,XYCZ0HLA,A3,i have guess that the mysterious work certain part of the active and inactive stones,0,0,,,,,,
198,A32CERQ1,A3,The best guess is the active and inactive is to easy identify the guess. and it is very nice experiment.,0,0,,,,,,
199,WX0ZMPT7,A3,"Though ancient standing stones, stone circles, and megaliths are scattered across the world",1,,,,,,,
206,ICKDTC07,A3,The active stone adds a side to the inactive stone.,0,1,1,vague,,R,unstated,
209,GDXESQ02,A3,"Sep 3, 2015 — Atop a desolate hill in a small US town are the Georgia Guidestones: an ... his way to see the Coral Castle – another mysterious stone structure – in Homestead, Florida. ... of anonymous Americans foreign to Georgia who had been working ... were the words: “Let these be guidestones to an Age of Reason. ",1,,,,,,,
210,POO5HKU1,A3,The mysterious stone works as active stone when reacts with inactive stone changes the shape of the inactive stone.  The order of the inactive changes to high.,0,1,1,vague,,general,general,
63,VFKNCVRS,A4,"The best I can come up with is when the activated stone hits against the inactive stone, it changes the color. If the active stone is light colored, it seems the new stone shape is a light color, as well. If the active stone is a dark color, the inactive stone shape takes on a dark color, as well.",0,1,1,vague,A,unstated,general,
66,3EZG3TW3,A4,"When the active stone moves to the right and contacts the inactive stone, it changes shape.",0,1,1,vague,,general,unstated,
71,V81K7CJO,A4,Nothing survey is very good,1,,,,,,,
83,V0DZWHR5,A4,The active stones seem to add a side to the inactive stones (so a square becomes a pentagon). The active stone also seems to change the color of the inactive stone to a shade one level darker than the active stone's shade (regardless of the inactive stone's original shade). But I'm not certain about the first part - it could be that the active stones always change the inactive stone to a pentagon. Since all of the inactive stones were squares I couldn't test if it really was an add a side rule or a change to pentagon rule.,0,1,1,true_relative,,,,
100,RP329HG9,A4,"wooden sleighs using rollers, a process that must have involved months of hard work.  Guess the (ineffective) historical antidote",1,,,,,,,
104,5KFHJR51,A4,"Tapping an active stone against an inactive stone, makes the inactive stone a shape with one more side than it previously had.  ",0,1,1,vague,,R,unstated,
106,KK86QCSH,A4,"The active stone will always turn the inactive stone into a pentagon. If the active stone is light, the color of the inactive stone won't change but if the active stone is darker than light, the inactive stone will be darker.",0,1,1,vague,A,constant,general,
108,HRRL3N5J,A4,the guess about the stones work as same model,0,0,,,,,,
113,8KP79CGJ,A4,intresting this game,1,,,,,,,
115,GSLRODO9,A4,i prepared the my guest level predictions can shape darks to inactive border shaped change taped against.,0,0,,,,,,
130,W8K7NJY3,A4,"When active stones hit the inactive stones ,the shape of inactive stone is changed. I guess active stone has radiation property and it may be affecting the the molecular bonding of inactive stone when they hit. So the shape of inactive stone is getting changed. The molecular bonding of active stone may have more strength than inactive stone. So that the shape of active stone is not getting changed.",0,1,1,vague,,general,unstated,
133,0C7EXWAQ,A4,The mysterious stones change squares into pentagons. If they are a shade darker than the square they also made the newly made pentagon even darker than them.,0,1,1,vague,A,constant,general,
135,HVGIUUV4,A4,"whenever an active stone of any shape touches an inactive square it turns into a pentagon, the color of the pentagon depends on the color of the active stone, the pentagon formed becomes a darker color than the active stone",0,1,1,vague,A,constant,general,
139,LDW57CTI,A4,"When an active stone comes into contact with an inactive stone, the inactive stone is altered to a shape with one more side than it had previously.",0,1,1,vague,,R,unstated,
140,G7UTHKOM,A4,"all the case , the inactive stones ,have a shades of color, and it shape merged to the active stone ,it gives a pentagon, my guess is , the shape depends on the inactive stone shape .",0,1,1,vague,,constant,unstated,
142,220QN7QL,A4,The inactive shape is always changed to a pentagon & its shade is changed to one step darker than the active stone.,0,1,1,true_constant,,,,
143,KHYYARPE,A4,Square turns to pentagon and it maintains its color deepeness.,0,1,1,partial,,,,
144,3HP6O6E7,A4,when the active stone comes in contact with the inactive stone it changes it form/shape and sometimes the color. ,0,1,1,vague,,general,general,
145,YVJCGWFX,A4,"When the active stone hits the inactive stone, the inactive stone turns into a pentagon",0,1,1,vague,,constant,unstated,
151,FHHDVEUF,A4,"triangular , square , pentagon , hexagon",1,,,,,,,
152,GZIZJDYB,A4,"While an active stone hits an inactive stone, then the inactive stone's shape changed such as the number of sides increased such as square become pentagon. Also color of inactive stone also chnged to the next darker color.",0,1,1,true_relative,,,,
153,9MAWUCBZ,A4,"When active stones hits the inactive stones, the inactive stones shapes upgraded to one level( for eg if an active stone hits square shaped inactive stone it turns to pentagon shaped inactive stone).",0,1,1,vague,,R,unstated,
154,1514IVC4,A4,"the stones go into an active state in which they glow with a strange light . When an active stone is tapped against an inactive stone, it causes the properties of the inactive stone to change.",0,1,1,vague,,general,general,
157,0KUOB7G3,A4,nice,1,,,,,,,
158,NF7MIFS3,A4,"When the active stone hit the inactive stone, It changes in shape and color but remains as Inactive",0,1,1,vague,,general,general,
160,9N0BFS5U,A4,"If the active stone is darker than the inactive stone, it turns the inactive stone darker. The shape outcome always is the 5 sided shape when the original inactive stone is a square, no matter what shape the original inactive stone was.",0,1,1,vague,A,constant,general,
166,TXJNIW7G,A4,The active stone always turns the other stone into a pentagon.  The color depends on the active stone's color.  The darker the active stone the darker the inactive one becomes as well.,0,1,1,vague,A,constant,general,
176,7CPU57P2,A4,greatt,1,,,,,,,
178,SWDMELFX,A4,these mysterious gems are fast acting in a straight line,0,0,,,,,,
182,G8WYARU4,A4,They will increase by 1 side every time they are hit by a active stone,0,1,1,vague,,R,unstated,
183,KU14VEBS,A4,pentagan will change as the square. and if the active square is there it will be changed to pentagon ,0,1,1,partial,,,,
187,DSEXDTD6,A4,have improved and observed the she shapes ,0,0,,,,,,
190,JIE9BMZJ,A4,"Active stones cause cubes to turn into pentagons of a darker color, imparting their slanted edges to the cube.",0,1,1,partial,,,,
194,NUQ6N6ZH,A4,These mysterious stone change the color or shape of the inactive stone. ,0,1,1,vague,,general,general,
196,4TA0PDUR,A4," Atop a desolate hill in a small US town are the Georgia Guidestones: an ... his way to see the Coral Castle – another mysterious stone structure – in Homestead, Florida. ... of anonymous Americans foreign to Georgia who had been working",1,,,,,,,
197,5NFEGZ1Z,A4,the active stone move close to the inactive stone,0,0,,,,,,
202,0OVVLPSO,A4,An inactive stone when hit by an active stone changes in shape. In the case of a of an inactive square stone when hit by an active stone becomes a pentagon,0,1,1,vague,,constant,unstated,
207,J2HZ8WZO,A4,"When the active stone hits on the inactive one, the inactive square shape of the stone become pentagonal. If the color of the active stone is light, the inactive stone becomes/remains medium. If the active stone is medium color, the inactive stone becomes dark. If the active stone is dark in color,  the inactive stone becomes very dark. ",0,1,1,true_constant,A,,,
208,Y070HTOH,A4,There are two types of stones active stones and inactive stones.active stone reach the inactive stone then change pentagon position. most of the stone go to active state. it causes the properties of the inactive stones to change.,0,1,0,incompatible,,,,