group,phase,trial,agent,recipient,result
A1,learn,1,31,42,43
A1,learn,2,31,32,43
A1,learn,3,31,61,42
A1,learn,4,31,51,42
A1,learn,5,31,33,44
A1,learn,6,31,43,44
A1,gen,1,31,43,
A1,gen,2,34,71,
A1,gen,3,61,32,
A1,gen,4,53,61,
A1,gen,5,31,32,
A2,learn,1,31,42,43
A2,learn,2,63,42,73
A2,learn,3,52,42,63
A2,learn,4,41,42,53
A2,learn,5,53,42,63
A2,learn,6,61,42,73
A2,gen,1,33,42,
A2,gen,2,44,41,
A2,gen,3,52,62,
A2,gen,4,64,33,
A2,gen,5,41,42,
A3,learn,1,31,42,52
A3,learn,2,31,32,42
A3,learn,3,31,61,72
A3,learn,4,31,51,62
A3,learn,5,31,33,42
A3,learn,6,31,43,52
A3,gen,1,31,43,
A3,gen,2,34,71,
A3,gen,3,61,32,
A3,gen,4,53,61,
A3,gen,5,31,32,
A4,learn,1,31,42,52
A4,learn,2,63,42,54
A4,learn,3,52,42,53
A4,learn,4,41,42,52
A4,learn,5,53,42,54
A4,learn,6,61,42,52
A4,gen,1,33,42,
A4,gen,2,44,41,
A4,gen,3,52,62,
A4,gen,4,64,33,
A4,gen,5,41,42,